Index	Label
0	Star_Wars_Episode_V_-_The_Empire_Strikes_Back_1980
1	Star_Wars_Episode_VI_-_Return_of_the_Jedi_1983
2	Star_Wars_Episode_IV_-_A_New_Hope_1977
3	Princess_Bride_The_1987
4	LA_Confidential_1997
5	Saving_Private_Ryan_1998
6	Men_in_Black_1997
7	ET_the_Extra-Terrestrial_1982
8	Matrix_The_1999
9	Alien_1979
10	Fargo_1996
11	Terminator_2_Judgment_Day_1991
12	Godfather_The_1972
13	Braveheart_1995
14	American_Beauty_1999
15	Aliens_1986
16	Wizard_of_Oz_The_1939
17	Jurassic_Park_1993
18	2001_A_Space_Odyssey_1968
19	Terminator_The_1984
20	Forrest_Gump_1994
21	Total_Recall_1990
22	Toy_Story_1995
23	Lethal_Weapon_1987
24	Star_Wars_Episode_I_-_The_Phantom_Menace_1999
25	Raiders_of_the_Lost_Ark_1981
26	Silence_of_the_Lambs_The_1991
27	Godfather_Part_II_The_1974
28	Casablanca_1942
29	Stand_by_Me_1986
30	Schindlers_List_1993
31	Abyss_The_1989
32	Toy_Story_2_1999
33	Back_to_the_Future_1985
34	Shakespeare_in_Love_1998
35	Babe_1995
36	Aladdin_1992
37	African_Queen_The_1951
38	Bugs_Life_A_1998
39	Willy_Wonka_and_the_Chocolate_Factory_1971
40	Pulp_Fiction_1994
41	Butch_Cassidy_and_the_Sundance_Kid_1969
42	Galaxy_Quest_1999
43	Who_Framed_Roger_Rabbit?_1988
44	Little_Mermaid_The_1989
45	Groundhog_Day_1993
46	Batman_1989
47	Romancing_the_Stone_1984
48	True_Lies_1994
49	Fugitive_The_1993
50	Usual_Suspects_The_1995
51	Army_of_Darkness_1993
52	Ghostbusters_1984
53	Dances_with_Wolves_1990
54	Chinatown_1974
55	Star_Trek_The_Wrath_of_Khan_1982
56	Gladiator_2000
57	Blade_Runner_1982
58	Full_Metal_Jacket_1987
59	Professional_The_aka_Leon_The_Professional_1994
60	Lady_and_the_Tramp_1955
61	Independence_Day_ID4_1996
62	Chicken_Run_2000
63	Speed_1994
64	Blues_Brothers_The_1980
65	Big_Lebowski_The_1998
66	GoodFellas_1990
67	Glory_1989
68	French_Connection_The_1971
69	This_Is_Spinal_Tap_1984
70	Run_Lola_Run_Lola_rennt_1998
71	Die_Hard_1988
72	Hunt_for_Red_October_The_1990
73	Indiana_Jones_and_the_Last_Crusade_1989
74	Untouchables_The_1987
75	Boat_The_Das_Boot_1981
76	Jaws_1975
77	Star_Trek_First_Contact_1996
78	Rock_The_1996
79	Gone_with_the_Wind_1939
80	When_Harry_Met_Sally_1989
81	Patriot_The_2000
82	Dr_Strangelove_or_How_I_Learned_to_Stop_Worrying_and_Love_the_Bomb_1963
83	Witness_1985
84	Get_Shorty_1995
85	Crying_Game_The_1992
86	Rocky_Horror_Picture_Show_The_1975
87	North_by_Northwest_1959
88	Mission_Impossible_1996
89	Lion_King_The_1994
90	Predator_1987
91	Lethal_Weapon_2_1989
92	Talented_Mr_Ripley_The_1999
93	FaceOff_1997
94	Christmas_Story_A_1983
95	Beauty_and_the_Beast_1991
96	Twelve_Monkeys_1995
97	Sixth_Sense_The_1999
98	Breakfast_Club_The_1985
99	Close_Encounters_of_the_Third_Kind_1977
100	Annie_Hall_1977
101	Midnight_Run_1988
102	Big_1988
103	American_President_The_1995
104	As_Good_As_It_Gets_1997
105	Graduate_The_1967
106	X-Men_2000
107	Good_Morning_Vietnam_1987
108	Mary_Poppins_1964
109	Clear_and_Present_Danger_1994
110	Sneakers_1992
111	Star_Trek_IV_The_Voyage_Home_1986
112	Psycho_1960
113	Say_Anything_1989
114	Shawshank_Redemption_The_1994
115	Taxi_Driver_1976
116	Reservoir_Dogs_1992
117	Gattaca_1997
118	Armageddon_1998
119	Young_Frankenstein_1974
120	Superman_1978
121	Mummy_The_1999
122	Life_Is_Beautiful_La_Vita__bella_1997
123	Green_Mile_The_1999
124	Sling_Blade_1996
125	Excalibur_1981
126	Heat_1995
127	Starship_Troopers_1997
128	Last_of_the_Mohicans_The_1992
129	Fantasia_1940
130	From_Dusk_Till_Dawn_1996
131	Rear_Window_1954
132	Robocop_1987
133	Apocalypse_Now_1979
134	Thing_The_1982
135	Nightmare_Before_Christmas_The_1993
136	Time_Bandits_1981
137	Twister_1996
138	Maltese_Falcon_The_1941
139	Close_Shave_A_1995
140	Sting_The_1973
141	Ghost_1990
142	Platoon_1986
143	Escape_from_New_York_1981
144	Seven_Se7en_1995
145	Jerry_Maguire_1996
146	Grifters_The_1990
147	Titanic_1997
148	Starman_1984
149	Stargate_1994
150	Jungle_Book_The_1967
151	Out_of_Sight_1998
152	Contact_1997
153	Being_John_Malkovich_1999
154	Arachnophobia_1990
155	Tron_1982
156	English_Patient_The_1996
157	M*A*S*H_1970
158	Thelma_&_Louise_1991
159	Lost_World_Jurassic_Park_The_1997
160	Dog_Day_Afternoon_1975
161	Dark_City_1998
162	South_Park_Bigger_Longer_and_Uncut_1999
163	Beetlejuice_1988
164	Edward_Scissorhands_1990
165	Blazing_Saddles_1974
166	Fifth_Element_The_1997
167	Devils_Advocate_The_1997
168	Almost_Famous_2000
169	Bridge_on_the_River_Kwai_The_1957
170	Mask_of_Zorro_The_1998
171	Fisher_King_The_1991
172	Manhattan_1979
173	Ben-Hur_1959
174	Clueless_1995
175	Splash_1984
176	Wrong_Trousers_The_1993
177	Arsenic_and_Old_Lace_1944
178	Heavy_Metal_1981
179	Rocky_1976
180	Conspiracy_Theory_1997
181	Four_Weddings_and_a_Funeral_1994
182	Bound_1996
183	Cool_Hand_Luke_1967
184	Cinema_Paradiso_1988
185	Mask_The_1994
186	Grosse_Pointe_Blank_1997
187	Snow_White_and_the_Seven_Dwarfs_1937
188	Vertigo_1958
189	X-Files_Fight_the_Future_The_1998
190	Few_Good_Men_A_1992
191	One_Flew_Over_the_Cuckoos_Nest_1975
192	Star_Trek_VI_The_Undiscovered_Country_1991
193	Mars_Attacks!_1996
194	Evil_Dead_II_Dead_By_Dawn_1987
195	Broadcast_News_1987
196	American_Graffiti_1973
197	Crimson_Tide_1995
198	Peter_Pan_1953
199	GoldenEye_1995
200	Key_Largo_1948
201	Lawrence_of_Arabia_1962
202	Legends_of_the_Fall_1994
203	Player_The_1992
204	Deep_Impact_1998
205	Planet_of_the_Apes_1968
206	Perfect_Storm_The_2000
207	Patriot_Games_1992
208	Some_Like_It_Hot_1959
209	Three_Kings_1999
210	Grease_1978
211	True_Romance_1993
212	Star_Trek_Generations_1994
213	20000_Leagues_Under_the_Sea_1954
214	Back_to_the_Future_Part_III_1990
215	Monty_Python_and_the_Holy_Grail_1974
216	In_the_Line_of_Fire_1993
217	Honey_I_Shrunk_the_Kids_1989
218	Little_Big_Man_1970
219	League_of_Their_Own_A_1992
220	Thomas_Crown_Affair_The_1999
221	Indiana_Jones_and_the_Temple_of_Doom_1984
222	Heavenly_Creatures_1994
223	Lethal_Weapon_3_1992
224	Lock_Stock_&_Two_Smoking_Barrels_1998
225	Little_Shop_of_Horrors_1986
226	Manchurian_Candidate_The_1962
227	Good_The_Bad_and_The_Ugly_The_1966
228	Chasing_Amy_1997
229	King_Kong_1933
230	Tomorrow_Never_Dies_1997
231	Blade_1998
232	Mad_Max_1979
233	Ronin_1998
234	Wild_Things_1998
235	Dave_1993
236	Airplane!_1980
237	Westworld_1973
238	Nutty_Professor_The_1996
239	Maverick_1994
240	Game_The_1997
241	Sleepless_in_Seattle_1993
242	Mad_Max_2_aka_The_Road_Warrior_1981
243	Akira_1988
244	Sense_and_Sensibility_1995
245	Pretty_Woman_1990
246	Air_Force_One_1997
247	Good_Will_Hunting_1997
248	Con_Air_1997
249	Willow_1988
250	Doctor_Zhivago_1965
251	Roger_&_Me_1989
252	Alien_1992
253	Touch_of_Evil_1958
254	Top_Gun_1986
255	Enemy_of_the_State_1998
256	Dark_Crystal_The_1982
257	Die_Hard_2_1990
258	Great_Escape_The_1963
259	Killing_Fields_The_1984
260	Singin_in_the_Rain_1952
261	Dead_Again_1991
262	Star_Trek_III_The_Search_for_Spock_1984
263	Leaving_Las_Vegas_1995
264	Diner_1982
265	Thin_Red_Line_The_1998
266	NeverEnding_Story_The_1984
267	Sleepy_Hollow_1999
268	Batman_Returns_1992
269	Office_Space_1999
270	FX_1986
271	Notorious_1946
272	Ferris_Buellers_Day_Off_1986
273	Ed_Wood_1994
274	Goonies_The_1985
275	Amadeus_1984
276	Guns_of_Navarone_The_1961
277	Jacobs_Ladder_1990
278	Seven_Samurai_The_Magnificent_Seven_Shichinin_no_samurai_1954
279	War_of_the_Worlds_The_1953
280	Dangerous_Liaisons_1988
281	West_Side_Story_1961
282	Big_Chill_The_1983
283	Mission_Impossible_2_2000
284	Sleeper_1973
285	Swingers_1996
286	Election_1999
287	Crow_The_1994
288	Like_Water_for_Chocolate_Como_agua_para_chocolate_1992
289	Cinderella_1950
290	Midnight_in_the_Garden_of_Good_and_Evil_1997
291	Emma_1996
292	Frequency_2000
293	Deer_Hunter_The_1978
294	Fight_Club_1999
295	Fly_The_1986
296	Lethal_Weapon_4_1998
297	Cocoon_1985
298	Patton_1970
299	Dirty_Dozen_The_1967
300	Godfather_Part_III_The_1990
301	Parenthood_1989
302	Bonnie_and_Clyde_1967
303	Do_the_Right_Thing_1989
304	Back_to_the_Future_Part_II_1989
305	Raising_Arizona_1987
306	Blood_Simple_1984
307	Deliverance_1972
308	Producers_The_1968
309	To_Catch_a_Thief_1955
310	Scream_1996
311	Dumbo_1941
312	Iron_Giant_The_1999
313	Mister_Roberts_1955
314	Rain_Man_1988
315	Hercules_1997
316	LA_Story_1991
317	Highlander_1986
318	Clerks_1994
319	My_Fair_Lady_1964
320	U-571_2000
321	Philadelphia_Story_The_1940
322	Charade_1963
323	High_Fidelity_2000
324	Network_1976
325	13th_Warrior_The_1999
326	Muppet_Movie_The_1979
327	Much_Ado_About_Nothing_1993
328	Simple_Plan_A_1998
329	Jewel_of_the_Nile_The_1985
330	So_I_Married_an_Axe_Murderer_1993
331	Apollo_13_1995
332	Double_Indemnity_1944
333	Fish_Called_Wanda_A_1988
334	Strictly_Ballroom_1992
335	Wedding_Singer_The_1998
336	Lone_Star_1996
337	Theres_Something_About_Mary_1998
338	Rosemarys_Baby_1968
339	Rob_Roy_1995
340	Ladyhawke_1985
341	Diva_1981
342	Duck_Soup_1933
343	Donnie_Brasco_1997
344	Poltergeist_1982
345	Alice_in_Wonderland_1951
346	Logans_Run_1976
347	Man_on_the_Moon_1999
348	JFK_1991
349	Labyrinth_1986
350	Notting_Hill_1999
351	Breakfast_at_Tiffanys_1961
352	Superman_II_1980
353	Wag_the_Dog_1997
354	Last_Emperor_The_1987
