Index	Label
0	American_Beauty_1999
1	Star_Wars_Episode_IV_-_A_New_Hope_1977
2	Star_Wars_Episode_V_-_The_Empire_Strikes_Back_1980
3	Saving_Private_Ryan_1998
4	Raiders_of_the_Lost_Ark_1981
5	Silence_of_the_Lambs
6	Matrix
7	Sixth_Sense
8	Star_Wars_Episode_VI_-_Return_of_the_Jedi_1983
9	Fargo_1996
10	Schindlers_List_1993
11	Shawshank_Redemption
12	Terminator_2_Judgment_Day_1991
13	Godfather
14	Braveheart_1995
15	Princess_Bride
16	Back_to_the_Future_1985
17	Shakespeare_in_Love_1998
18	L.A._Confidential_1997
19	Pulp_Fiction_1994
20	Being_John_Malkovich_1999
21	Jurassic_Park_1993
22	Terminator
23	Forrest_Gump_1994
24	Groundhog_Day_1993
25	Toy_Story_1995
26	Men_in_Black_1997
27	E.T._the_Extra-Terrestrial_1982
28	Alien_1979
29	Fugitive
30	Usual_Suspects
31	Ghostbusters_1984
32	One_Flew_Over_the_Cuckoos_Nest_1975
33	Gladiator_2000
34	Blade_Runner_1982
35	Godfather_Part_II
36	Casablanca_1942
37	Aliens_1986
38	Stand_by_Me_1986
39	Wizard_of_Oz
40	GoodFellas_1990
41	Monty_Python_and_the_Holy_Grail_1974
42	Die_Hard_1988
43	Toy_Story_2_1999
44	Hunt_for_Red_October
45	Indiana_Jones_and_the_Last_Crusade_1989
46	Airplane!_1980
47	2001_A_Space_Odyssey_1968
48	Jaws_1975
49	Good_Will_Hunting_1997
50	Total_Recall_1990
51	Babe_1995
52	When_Harry_Met_Sally..._1989
53	Dr._Strangelove_or_How_I_Learned_to_Stop_Worrying_and_Love_the_Bomb_1963
54	Bugs_Life
55	North_by_Northwest_1959
56	Butch_Cassidy_and_the_Sundance_Kid_1969
57	Lethal_Weapon_1987
58	Ferris_Buellers_Day_Off_1986
59	Amadeus_1984
60	Galaxy_Quest_1999
61	Star_Wars_Episode_I_-_The_Phantom_Menace_1999
62	Election_1999
63	Who_Framed_Roger_Rabbit?_1988
64	Christmas_Story
65	Fight_Club_1999
66	Twelve_Monkeys_1995
67	Breakfast_Club
68	Raising_Arizona_1987
69	Close_Encounters_of_the_Third_Kind_1977
70	Annie_Hall_1977
71	Big_1988
72	As_Good_As_It_Gets_1997
73	Graduate
74	X-Men_2000
75	Psycho_1960
76	Rain_Man_1988
77	Abyss
78	Clerks_1994
79	Chinatown_1974
80	Dances_with_Wolves_1990
81	Star_Trek_The_Wrath_of_Khan_1982
82	High_Fidelity_2000
83	Taxi_Driver_1976
84	Reservoir_Dogs_1992
85	Apollo_13_1995
86	Young_Frankenstein_1974
87	Fish_Called_Wanda
88	Full_Metal_Jacket_1987
89	Life_Is_Beautiful_La_Vita__bella_1997
90	Sling_Blade_1996
91	Green_Mile
92	Theres_Something_About_Mary_1998
93	Independence_Day_ID4_1996
94	Rear_Window_1954
95	Apocalypse_Now_1979
96	Chicken_Run_2000
97	Citizen_Kane_1941
98	Speed_1994
99	Blues_Brothers
100	Erin_Brockovich_2000
101	Clockwork_Orange
102	Maltese_Falcon
103	Animal_House_1978
104	Sting
105	Glory_1989
106	Platoon_1986
107	This_Is_Spinal_Tap_1984
108	Aladdin_1992
109	American_Pie_1999
110	Run_Lola_Run_Lola_rennt_1998
111	Seven_Se7en_1995
112	African_Queen
113	Jerry_Maguire_1996
114	Willy_Wonka_and_the_Chocolate_Factory_1971
115	Titanic_1997
116	Contact_1997
117	M*A*S*H_1970
118	Thelma_&_Louise_1991
119	Untouchables
120	South_Park_Bigger
121	Boat
122	Beetlejuice_1988
123	Edward_Scissorhands_1990
124	Blazing_Saddles_1974
125	Fifth_Element
126	Full_Monty
127	Shining
128	Almost_Famous_2000
129	Bridge_on_the_River_Kwai
130	Thomas_Crown_Affair
131	Star_Trek_First_Contact_1996
132	Rock
133	Batman_1989
134	Clueless_1995
135	To_Kill_a_Mockingbird_1962
136	Rushmore_1998
137	Romancing_the_Stone_1984
138	Wrong_Trousers
139	True_Lies_1994
140	Gone_with_the_Wind_1939
141	Patriot
142	Rocky_1976
143	Witness_1985
144	Four_Weddings_and_a_Funeral_1994
145	Get_Shorty_1995
